Sp_name,Area_Wales,Area_Score,Area_Sp,WoodlandOpp_Sp,Areaforplanting,Wales_target,Coniferous_Woodland,Arable_Horticulture,Improved_Grassland,Neutral_Grassland,Calcareous_Grassland,Acid_grassland,Fen_Marsh_Swamp,Heather,Heather_grassland,Bog,Inland_Rock,Saltwater,Freshwater,Supralittoral_Rock,Supralittoral_Sediment,Littoral_Sediment,Saltmarsh,Urban,Suburban,Species
56,2078218,234839,2446419,199515,8326,9800,1.62,425.82,6559.21,371.66,0.12,240.45,24.56,1.24,25.19,0.13,4.38,0.23,16.95,0.4,8.24,0.07,18.96,37.35,589.42,Sciurus carolinensis 2010
57,2078218,234839,918156,76676,3200,9800,0.47,52.42,2660.54,132.36,0,86.07,41.12,0.94,3.38,0.22,3.13,0.2,1.27,0,7.92,0.11,5.31,11.05,193.49,Sciurus vulgaris 1995
58,2078218,234839,675403,54010,2254,9800,0.26,27.58,1881.76,113.59,0,45.24,40.81,0.54,2.73,0,2.26,0,0.97,0,8.2,0.14,5.48,7.57,116.87,Sciurus vulgaris 2005
59,2078218,234839,350413,39100,1632,9800,0.02,8.06,1435.6,32.3,0,14.66,40.81,0.55,1.3,0,1.58,0,0.62,0,7.22,0.12,2.5,0.35,86.31,Sciurus vulgaris 2010
5,2078218,234839,237100,17321,723,9800,0.03,9.41,564.87,65.59,0,19.99,2.95,0,2.65,0,1.87,0,0.32,0,1.79,0,6.76,0.83,45.94,Capra aegagrus hircus
60,2078218,234839,2424241,217141,9061,9800,1.48,427.95,7231.48,370.99,0.07,234.97,63.62,1.68,28.94,0.15,5.12,0.3,16.85,0.4,14.55,0.09,21.08,37.77,603.51,Sorex araneus
61,2078218,234839,2351695,202770,8462,9800,1.58,380.27,6814.17,291.02,0.13,229.59,60.78,1.44,23.33,0.17,4.53,0.28,16.34,0.45,14.06,0.14,13.56,31.92,578.24,Sorex minutus
62,2078218,234839,49146,2409,101,9800,0.11,11.86,78.11,0.22,0,0.35,0,0,0,0,0,0,0.55,0,0,0,0.28,0.53,8.99,Sus scrofa
63,2078218,234839,2549381,234703,9794,9800,1.37,436.15,7893.04,370.4,0.09,237.36,65.68,1.68,29.9,0.17,5.52,0.25,17.11,0.45,15.22,0.16,20.96,38.68,659.81,Talpa europaea
64,2078218,234839,2549381,234703,9794,9800,1.87,440.45,7891.38,372.32,0.09,236.13,64.93,1.67,29.36,0.26,5.37,0.27,16.92,0.46,14.88,0.09,20.81,38.67,658.07,Vulpes vulpes
6,2078218,234839,2157260,168531,7033,9800,1.6,364.38,5596.69,342.49,0.13,208.77,12.72,1.38,7.99,0.19,3.84,0.25,16.11,0.4,2.3,0,14.22,33.58,425.96,Capreolus capreolus
8,2078218,234839,1104209,88410,3689,9800,0.55,127.81,3146.21,15.9,0,74.86,21.6,0.32,7.75,0.14,3.04,0.21,2.14,0.18,1.45,0,3.7,8.38,274.76,Cervus elaphus
9,2078218,234839,147678,11326,473,9800,0,17.49,405.66,0.17,0,0,3.61,0,2.38,0,0.02,0,0,0.16,0.45,0,1.49,0.15,41.42,Cervus nippon
