"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","2","Broad_leaved,_mixed_and_yew_woodland",10600,28.39,20.9,37,68.6,69,NA
"2","3","Coniferous_woodland",4860,28.39,20.9,37,31.4,31,NA
