"","...1","UrbanRural","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent"
"1","1","Built_up_areas_and_gardens",13800,13.9,1.5,25.8,6.2,54
"2","2","Rural",210000,0.79,0.4,1.39,93.8,46
