"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Coniferous_woodland",7190,7.08,2.35,19.56,57.5,49,1
"2","2","Broad_leaved,_mixed_and_yew_woodland",4020,7.08,2.35,19.6,32.2,28,1
"3","3","Dwarf_shrub_heath",1290,18.3,0.5,36,10.3,23,1
