"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Broad_leaved,_mixed_and_yew_woodland",796,0.12,0.02,0.26,12.8,13,NA
"2","2","Coniferous_woodland",3990,0.12,0.02,0.26,64.1,64,NA
"3","4","Rough_low-productivity_grassland",1450,0.12,0.02,0.26,23.2,23,NA
