"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","2","Arable_and_horticulture",6250000,1.3,NA,NA,32.5,20,NA
"2","4","Broad_leaved,_mixed_and_yew_woodland",1310000,4,NA,NA,6.8,13,NA
"3","6","Coniferous_woodland",1430000,1.3,NA,NA,7.4,4,NA
"4","7","Dwarf_shrub_heath",1820000,1.3,NA,NA,9.5,6,NA
"5","12","Improved_grassland",7250000,2.65,NA,NA,37.7,46,NA
"6","19","Rough_low-productivity_grassland",1150000,4,NA,NA,6,11,NA
