"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Built_up_areas_and_gardens",13800,0.54,0.33,1.54,7.3,1,1
"2","2","Improved_grassland",72800,0.04,0,0.1,38.5,0,NA
"3","4","Arable_and_horticulture",62600,5,NA,NA,33.1,22,NA
"4","6","Broad_leaved,_mixed_and_yew_woodland",13100,40,NA,NA,7,37,NA
"5","7","Coniferous_woodland",14400,5,NA,NA,7.6,5,NA
"6","19","Rough_low-productivity_grassland",12200,40,NA,NA,6.4,35,NA
