"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Broad_leaved,_mixed_and_yew_woodland",331000,0.23,0.17,0.64,28.1,26,1
"2","2","Coniferous_woodland",849000,0.25,0.19,0.4,71.9,74,1
