"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Broad_leaved,_mixed_and_yew_woodland",592000,3.12,0.57,11,40.2,68,4
"2","2","HedgerowsNonAES",2e+05,8.5,6,11,13.6,21,3
"3","5","Built_up_areas_and_gardens",720000,0.38,0.12,0.8,48.9,10,2
"4","6","Coniferous_woodland",160000,0.16,0.08,0.52,10.9,1,2
