"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Broad_leaved,_mixed_and_yew_woodland",906,2,0.13,6.5,68.4,69,NA
"2","2","Coniferous_woodland",418,1.95,0.13,6.1,31.6,31,NA
