"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Broad_leaved,_mixed_and_yew_woodland",12700,12.3,10,13.7,47.3,47,2
"2","2","Coniferous_woodland",14200,12.3,10,13.8,52.7,53,2
