"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Broad_leaved,_mixed_and_yew_woodland",1160000,1.9,0.8,2.45,35.1,81,NA
"2","2","Built_up_areas_and_gardens",1350000,0.19,0.18,0.2,40.9,9,NA
"3","3","Coniferous_woodland",791000,0.31,0.21,0.87,24,9,NA
