"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","2","Arable_and_horticulture",61200,2,"NA","NA",33.5,28,NA
"2","3","Bog",6670,2,"NA","NA",3.6,3,NA
"3","4","Broad_leaved,_mixed_and_yew_woodland",12300,6,"NA","NA",6.7,17,NA
"4","6","Coniferous_woodland",11800,6,"NA","NA",6.4,16,NA
"5","7","Dwarf_shrub_heath",15100,2,"NA","NA",8.2,7,NA
"6","12","Improved_grassland",65200,1,"NA","NA",35.7,15,NA
"7","19","Rough_low-productivity_grassland",10300,6,"NA","NA",5.6,14,NA
"8","22","Supra-littoral_sediment",215,2,"NA","NA",0.1,0,NA
