"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Arable_and_horticulture",10600,0.1,0.01,10,84.5,30,1
"2","2","Broad_leaved,_mixed_and_yew_woodland",1370,0.5,0.02,20,10.9,19,1
"3","3","Fen_marsh_and_swamp",39.1,40,1,100,0.3,44,1
"4","5","Rough_low-productivity_grassland",530,0.5,0.02,10,4.2,7,1
