"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Broad_leaved,_mixed_and_yew_woodland",1270000,8.64,7.41,9.9,9.3,28,2
"2","4","Supra-littoral_sediment",21800,1.2,0.8,3.5,0.2,0,1
"3","6","Built_up_areas_and_gardens",1360000,4,0.05,8,9.9,14,2
"4","7","Coniferous_woodland",1250000,6.75,5.6,7.95,9.1,21,2
"5","8","Dwarf_shrub_heath",1540000,1.5,0.1,3,11.2,6,1
"6","10","Improved_grassland",6760000,0.1,0,0.5,49.3,2,3
"7","11","Rough_low-productivity_grassland",1060000,6.5,0,13,7.8,17,2
"8","2","HedgerowsAES",142000,3,0,12,1,1,NA
"9","3","HedgerowsNonAES",320000,14.62,12.31,24.5,2.3,11,2
