"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts"
"1","1","Improved_grassland",73100,48.29,26.26,599.94,37.4,10,1
"2","3","Arable_and_horticulture",62600,250,NA,NA,32,43,1
"3","5","Broad_leaved,_mixed_and_yew_woodland",13100,200,NA,NA,6.7,7,NA
"4","7","Coniferous_woodland",14400,200,NA,NA,7.4,8,NA
"5","8","Dwarf_shrub_heath",19700,250,NA,NA,10.1,14,1
"6","19","Rough_low-productivity_grassland",12400,500,NA,NA,6.3,17,1
"7","21","Supra-littoral_rock",32.1,500,NA,NA,0,0,NA
"8","22","Supra-littoral_sediment",302,500,NA,NA,0.2,0,1
